,Crypto,South America,Asian Markets,Aviation,Pharma,Korea Conflict,Shipping,Automotive,Commodities,Energy,Insurance,Oil,China-US Trade Conflict,Steel,Real Estate & Living,Russia,Spain,Telecommunication,Logistic,Covid,Brexit,US Election,Italy,Foreign Exchange,IPO,IT,Startup,Semi-Conductors,Africa,Social Media,Connectivity,Media,Payment Solutions,Food & Beverage,Retail,Fashion,Sports,Poland,Balkan,Private Equity,Stock Markets,Oil countries,Turkey,Tax Evasion,France,Fixed Income,Education,Iran Conflict,EU,Greece Dept Crisis,Egypt,Fed,Economic Forecast,ECB,Brithish Banks,Wall Street Banks,Libya,Refugees,Isreael-Palestina Conflict,US Stock Market,Swiss Banks,Taliban,Health,Syria,Iraq,German local Banks,German Banks,German Financial Politics,Asset Management,Family Politics,Worker Union,Pension,Social System,German Stock Market,German Right Wing Parties,German Parties,Date
0,0,-0.117931341,-0.015711222,-0.1674173,-0.2537542,0.293406158,0.346439425,-0.054245979,-0.207125276,0.593036236,-0.000522014,0.212152854,-0.732820648,-0.164483213,-0.149078,-0.748919648,-0.529078533,0.112149579,0.236813636,0.001296276,-0.202380255,0.207022888,0.147863783,0,-0.932537604,-0.071807351,0.581505263,0.14952054,-0.478713882,-0.485107863,0.083769984,-0.131116667,0,-0.558820547,0.506194991,0.405262473,0.711540391,0.098645171,-0.194794546,0.001208419,0.307701037,-0.026303607,-0.163482814,-0.253108394,0.056233018,0,0,0.223562363,0.155035987,-0.249687887,-0.75013263,0.342749504,-0.01909673,0.022483591,-0.21490462,-0.333823794,-0.160234035,0.028546063,-0.464105964,-0.428880906,0.290948274,-0.569110366,-0.199205601,-0.133146592,0.115393298,-0.114234088,0.304141389,-0.080940724,-0.346250592,-0.340734408,-0.257253123,-0.019708668,0,0.026836499,-0.295372373,-0.092236369,31.01.04
1,0,-0.246052295,-0.115513703,0.039733767,-0.007734106,0.022381804,0.007581666,-0.097032309,-0.24046335,0.275054297,0.109649026,0.368082023,-0.46523795,-0.490792074,-0.095286819,-0.455075686,-0.433372327,0.044582177,-0.256643788,0.082854234,-0.262322545,0.31909328,-0.474686161,0.889652472,0,0.00657845,0,-0.017718829,-0.327008142,0.554086547,0.039437423,-0.003295542,0,-0.178997975,-0.088385686,0.206064013,0.005997321,0.048391084,-0.132253613,-0.442999772,-0.094157976,0.010046575,-0.12643824,-0.167468005,-0.197067928,0.000631244,0,0.47823742,-0.071648233,-0.231299028,0.217653244,0.101959494,0.448172848,-0.047355268,-0.218296317,-0.445725251,-0.471249098,0.240243459,-0.448291907,-0.098066223,0,-0.323005995,-0.014865797,-0.133324554,-0.05252366,-0.213493083,0.093665346,0,-0.35868553,-0.159460369,-0.23799699,-0.083530569,0,-0.244639557,-0.254031418,-0.059143908,29.02.04
2,0,0.105516169,-0.089031006,0.140030568,-0.245963865,-0.308074387,-0.140715339,-0.010624652,-0.076180951,-0.073782606,0.036482401,0.459747421,0,-0.138291628,-0.03190428,-0.851128205,-0.612385484,-0.125454985,0.660940068,-0.172474461,0.076794215,0.302976791,-0.343034455,0.001078044,-0.121713038,0.134880726,-0.891904024,-0.137623161,-0.497111613,-0.286676489,0.118344385,-0.257282367,-0.550872726,-0.6280609,-0.190233907,0.212309776,0,0.107789523,-0.156080689,-0.177545272,-0.15605082,-0.288669977,0.057108889,-0.307455351,0.298210517,-0.261923901,0,-0.465880153,-0.239270008,-0.256894559,0.421069125,0.303273878,0,0.138564447,-0.284490355,-0.312638088,-0.589712652,-0.946461884,-0.086242822,-0.370003424,-0.839228355,-0.385071082,0.007506541,-0.872791542,0.15669155,-0.140112246,0.187720409,-0.023034395,-0.446108973,-0.242115166,-0.161761093,-0.211775613,0,-0.043222469,-0.189794556,-0.036516654,31.03.04
3,0,-0.102132948,0.038754336,0.120702864,-0.200871231,-0.312431909,-0.46473945,-0.001098046,0.104186708,0.014940838,-0.319348359,0.378491137,-0.547059367,-0.345118059,0.006456106,0.009239122,-0.178111173,-0.048464684,0.564628604,-0.091003099,-0.107950129,0.207271246,-0.484762156,0,0.787260173,-0.054191586,0.00458285,0.292201107,-0.427151055,0.855985346,-0.500871775,-0.373968153,-0.495702428,-0.359650684,-0.361092811,-0.413062554,0,0.026268829,-0.268229369,0.202181576,-0.281789542,0.055241083,0.238818326,-0.386069612,-0.19395114,0,0,-0.052466103,0.036955043,-0.050270689,-0.004575938,0.637444475,-0.027231,0.196440342,-0.352455892,-0.377930764,-0.112457869,0.034474736,0.051876345,-0.245362906,-0.375338859,-0.476446278,-0.083499787,-0.297528919,0.335443097,-0.261996059,0.289417746,-0.760886686,-0.618700766,-0.198827272,-0.350027671,-0.148964339,0,0.179134617,-0.222460086,0.026905439,30.04.04
4,0,-0.240560287,-0.026251237,0.178261584,-0.153063234,-0.13244041,0.104427385,-0.098661582,-0.107859089,0.042810917,0.09615702,0.041489939,-0.067711912,-0.188760184,-0.149094352,0,-0.536741651,0.055027094,-0.262645738,-0.04935857,-0.163666061,-0.019184962,-0.478575409,0.001587855,-0.888559329,0.077781143,-0.067849433,0.273453788,-0.701275881,0.116584408,-0.06019519,-0.307057167,-0.177643489,-0.24168251,0.044003806,0.41598577,0.016094231,0.042971012,-0.344661935,0,-0.062029766,0,0.047618489,-0.268145206,-0.059444603,-0.709325165,0,-0.130284194,-0.16156847,0.092584344,0.552695461,0.437409028,-0.535107085,0.111735384,-0.197685657,-0.476458314,-0.398342845,0.151723463,-0.507047485,-0.251623376,-0.170389825,-0.475289153,0.110324543,-0.309304058,0.292634962,-0.246226526,0.015120666,0.014883465,-0.313445696,-0.129756756,-0.249426045,-0.270369909,-0.522063699,0.071291198,-0.152547646,-0.012839594,31.05.04
5,0,-0.066541411,-0.07570241,0.043677075,-0.313350755,-0.067829382,0.051188343,-0.116660886,-0.220792088,0.714152318,-0.015142469,-0.322449397,-0.540987218,-0.102453366,-0.233336286,-0.40984909,-0.394957803,0.090921923,0.10787923,-0.25532848,-0.134669083,0.140639411,-0.409404876,0,0,0.0180097,-0.081060045,-0.139902299,-0.362801602,-0.312028634,0.229444908,-0.07237019,-0.092416147,-0.245722727,-0.537382598,-0.034446791,-0.580215598,-0.107936956,-0.089375483,0,0.218365729,-0.015109734,-0.021319604,-0.345895321,-0.040886935,0,0,0.072297368,0.268901402,-0.290106055,-0.787401776,0.271258949,-0.227877911,-0.011680139,-0.085779513,-0.443180872,-0.160890305,-0.37379381,-0.385020162,-0.014537463,0,-0.342528556,0.064479487,-0.249205065,-0.03671673,-0.140554424,-0.055474692,0,-0.400639466,-0.155208739,-0.153571557,0.042564748,0,-0.031268767,-0.235714423,-0.138659231,30.06.04
6,0,-0.30272764,0.114865581,0.067201227,-0.028811093,-0.098714581,-0.084246011,-0.10256135,-0.318723515,0.472903639,-0.014816533,0.037895683,0.103574969,-0.505678151,-0.10030804,-0.326048056,-0.529676233,0.278259247,-0.030595736,-0.07323597,0.084536288,-0.338564806,-0.172672723,-0.313074014,-0.726095434,0.019408535,0.669016369,-0.084568402,-0.31877007,-0.019933435,0.194124711,-0.142951969,0.433381907,-0.50868693,-0.110823203,0.275414729,0.75602071,-0.229974939,-0.392118935,-0.08555837,0.197399925,0.155990403,0.018191794,-0.066866845,0.072340513,0.088782664,-0.066678471,-0.14877048,0.08171525,-0.03914798,0.018819109,0.085002002,0,0.132359884,-0.224115307,-0.399883606,-0.571838087,0,-0.437587257,0.004221518,0.075848853,-0.453122084,-0.175485039,-0.119064182,-0.576625696,-0.301957006,0.035946421,-0.130519461,-0.093912744,-0.052835071,-0.235450267,-0.296227511,0,-0.147108402,-0.397618427,-0.168478766,31.07.04
7,0,-0.116939133,0.130530912,0.059438517,-0.017800493,0.086162514,0.250000328,-0.082179002,-0.327439304,0.129706081,0.001978975,0.594390863,0,-0.760688549,-0.28072556,-0.736932808,-0.381124213,0.219370768,0.030859949,-0.276712752,-0.241023816,0.195818862,-0.2829302,0.022029479,0.003083119,0.037260998,0.005979675,0.079440064,-0.498360919,0.367512443,0.141073716,-0.068480069,-0.030424273,-0.490873257,-0.421735032,-0.327342058,0,7.77E-07,-0.195344538,-0.04266051,0.253537841,-0.282724744,-0.06190812,-0.040794088,0.085333392,0.46291588,0,-0.350961664,-0.280107653,-0.189420595,0.895012814,0.005112409,0.223743264,0.226595981,-0.273742755,-0.503030745,-0.373960491,-0.522647401,-0.479285563,-0.125684338,0,-0.411719201,-0.079048589,-0.496968236,-0.064796013,-0.275334149,0.110591425,0.004820931,-0.456315766,0.012527779,-0.217222505,-0.356589893,0,0.084839681,-0.25693059,-0.069319853,31.08.04
8,0,-0.019205563,-0.016583228,-0.162063058,-0.153863923,-0.122141793,0.196517222,-0.128940464,-0.281227217,0.350151891,0.029979371,0.048922656,0,-0.454388253,-0.03118848,-0.004055433,-0.667308309,0.121520306,0.118718966,0.058756204,-0.515375808,-0.421066662,-0.31232645,-0.387843313,0,-0.125169845,0.027377391,-0.080575602,-0.278368699,-0.294729241,-0.070983512,-0.248082921,-0.303199449,-0.396333223,0,-0.075777096,0,-0.140484982,-0.321378369,-0.012743398,-0.042797329,-0.269711248,-0.104930106,-0.144392619,-0.004750864,-0.361394502,0,0.109645831,-0.031597888,0.006744861,0,0.011144955,0.251367968,0.095297574,-0.368212988,-0.320124251,-0.403446717,0.360610849,-0.398970265,-0.238273057,0,-0.581871076,0.167508349,-0.095255027,-0.088175797,-0.114403867,0.222109911,-0.130999382,-0.457537133,-0.013614924,-0.213817612,-0.157510035,0,-0.102520342,-0.141724545,-0.116905573,30.09.04
9,0,-0.023451214,0.043258332,-0.101218899,-0.061097598,-0.133784773,-0.06533413,-0.161869437,-0.282882181,-0.105982653,-0.095882279,-0.173904333,-0.379776136,-0.099424708,-0.145084314,-0.318753459,-0.354797629,0.013877318,-0.023215521,-0.019762104,-0.102676398,-0.178082502,-0.253381406,0,0.897256749,0.080301332,-0.11696322,-0.111833998,-0.354760124,0,0.054151731,-0.449066177,-0.112976885,-0.453240333,0.330785979,-0.000759635,0.035089765,-0.083522443,-0.198744197,0,-0.320259467,-0.575637803,-0.032561984,-0.176440314,-0.308492284,-0.394077448,0,-0.002336002,-0.281549745,-0.17533554,-0.457526317,-0.258691539,0.153611757,0.066496303,-0.155241965,-0.306866528,-0.610476373,-0.867361778,-0.239277225,-0.276644247,0,-0.408139778,-0.106731368,-0.181429894,-0.008159172,-0.199428499,0.177172553,-0.130829811,-0.346546521,-0.259690113,-0.266356113,-0.206441409,0,0.05386898,-0.14987793,-0.301181556,31.10.04
